27/01 09:08:31 | S/ 3.35 | Bal: -0.0597
27/01 09:18:31 | S/ 3.35 | Bal: -0.0597
27/01 09:28:55 | S/ 3.35 | Bal: -0.0597
27/01 09:34:36 | S/ 3.35 | Bal: -0.0597
27/01 09:35:02 | S/ 3.35 | Bal: -0.0597
27/01 09:45:02 | S/ 3.35 | Bal: -0.0597
27/01 09:47:25 | S/ 3.35 | Bal: -0.0597
27/01 09:47:41 | S/ 3.35 | Bal: -0.0597
27/01 09:55:03 | S/ 3.35 | Bal: -0.0597
27/01 10:05:03 | S/ 3.35 | Bal: -0.0597
27/01 10:15:04 | S/ 3.35 | Bal: -0.0597
27/01 10:25:50 | S/ 3.35 | Bal: -0.0597
27/01 10:35:51 | S/ 3.35 | Bal: -0.0597
27/01 10:45:52 | S/ 3.35 | Bal: -0.0597
27/01 10:55:52 | S/ 3.35 | Bal: -0.0597
27/01 11:05:54 | S/ 3.35 | Bal: -0.0597
27/01 11:15:54 | S/ 3.35 | Bal: -0.0597
27/01 11:25:56 | S/ 3.35 | Bal: -0.0597
27/01 11:35:57 | S/ 3.35 | Bal: -0.0597
27/01 11:45:58 | S/ 3.35 | Bal: -0.0597
27/01 11:55:59 | S/ 3.35 | Bal: -0.0597
27/01 12:06:00 | S/ 3.35 | Bal: -0.0597
27/01 12:16:01 | S/ 3.35 | Bal: -0.0597
27/01 12:26:02 | S/ 3.35 | Bal: -0.0597
27/01 12:36:03 | S/ 3.35 | Bal: -0.0597
27/01 12:46:03 | S/ 3.35 | Bal: -0.0597
27/01 12:56:04 | S/ 3.35 | Bal: -0.0597
27/01 13:07:32 | S/ 3.35 | Bal: -0.0597
27/01 13:18:44 | S/ 3.35 | Bal: -0.0597
27/01 13:28:45 | S/ 3.35 | Bal: -0.0597
27/01 13:36:34 | S/ 3.35 | Bal: -0.0597
27/01 13:38:45 | S/ 3.35 | Bal: -0.0597
27/01 13:49:45 | S/ 3.35 | Bal: -0.0597
27/01 13:59:46 | S/ 3.35 | Bal: -0.0597
27/01 14:09:47 | S/ 3.35 | Bal: -0.0597
27/01 14:19:47 | S/ 3.35 | Bal: -0.0597
27/01 14:29:48 | S/ 3.35 | Bal: -0.0597
27/01 14:39:48 | S/ 3.35 | Bal: -0.0597
27/01 14:49:49 | S/ 3.35 | Bal: -0.0597
27/01 14:59:49 | S/ 3.35 | Bal: -0.0597
27/01 15:09:50 | S/ 3.35 | Bal: -0.0597
27/01 15:19:51 | S/ 3.35 | Bal: -0.0597
27/01 15:21:17 | S/ 3.35 | Bal: -0.0597
27/01 15:29:51 | S/ 3.35 | Bal: -0.0597
27/01 15:39:52 | S/ 3.35 | Bal: -0.0597
27/01 15:49:52 | S/ 3.35 | Bal: -0.0597
27/01 15:59:53 | S/ 3.35 | Bal: -0.0597
27/01 16:09:54 | S/ 3.35 | Bal: -0.0597
27/01 16:19:55 | S/ 3.35 | Bal: -0.0597
27/01 16:29:55 | S/ 3.35 | Bal: -0.0597
27/01 16:39:56 | S/ 3.35 | Bal: -0.0597
27/01 16:50:44 | S/ 3.35 | Bal: -0.0597
27/01 17:00:45 | S/ 3.35 | Bal: -0.0597
27/01 17:10:46 | S/ 3.35 | Bal: -0.0597
27/01 17:20:47 | S/ 3.35 | Bal: -0.0597
27/01 17:30:48 | S/ 3.35 | Bal: -0.0597
27/01 17:41:00 | S/ 3.35 | Bal: -0.0597
27/01 17:51:01 | S/ 3.35 | Bal: -0.0597
27/01 18:01:01 | S/ 3.35 | Bal: -0.0597
27/01 18:11:02 | S/ 3.35 | Bal: -0.0597
27/01 18:21:03 | S/ 3.35 | Bal: -0.0597
27/01 18:31:03 | S/ 3.35 | Bal: -0.0597
27/01 18:41:04 | S/ 3.35 | Bal: -0.0597
27/01 18:50:44 | S/ 3.35 | Bal: -0.0597
27/01 18:51:13 | S/ 3.35 | Bal: -0.0597
27/01 19:00:45 | S/ 3.35 | Bal: -0.0597
27/01 19:10:55 | S/ 3.35 | Bal: -0.0597
27/01 19:21:08 | S/ 3.35 | Bal: -0.0597
27/01 19:31:09 | S/ 3.35 | Bal: -0.0597
27/01 19:41:09 | S/ 3.35 | Bal: -0.0597
27/01 19:56:59 | S/ 3.35 | Bal: -0.0597
27/01 20:08:04 | S/ 3.35 | Bal: -0.0597
27/01 20:18:05 | S/ 3.35 | Bal: -0.0597
27/01 20:40:04 | S/ 3.35 | Bal: -0.0597
27/01 20:50:12 | S/ 3.35 | Bal: -0.0597
27/01 21:11:40 | S/ 3.35 | Bal: -0.0597
27/01 21:21:40 | S/ 3.35 | Bal: -0.0597
27/01 21:31:43 | S/ 3.35 | Bal: -0.0597
27/01 21:42:24 | S/ 3.35 | Bal: -0.0597
27/01 21:52:25 | S/ 3.35 | Bal: -0.0597
27/01 22:02:25 | S/ 3.35 | Bal: -0.0597
27/01 22:12:33 | S/ 3.35 | Bal: -0.0597
27/01 22:33:45 | S/ 3.35 | Bal: -0.0597
27/01 22:43:46 | S/ 3.35 | Bal: -0.0597
27/01 22:53:46 | S/ 3.35 | Bal: -0.0597
27/01 23:03:47 | S/ 3.35 | Bal: -0.0597
27/01 23:13:47 | S/ 3.35 | Bal: -0.0597
27/01 23:34:30 | S/ 3.35 | Bal: -0.0597
27/01 23:44:33 | S/ 3.35 | Bal: -0.0597
27/01 23:54:34 | S/ 3.35 | Bal: -0.0597
28/01 00:04:34 | S/ 3.35 | Bal: -0.0597
28/01 00:14:35 | S/ 3.35 | Bal: -0.0597
28/01 00:25:06 | S/ 3.35 | Bal: -0.0597
28/01 00:35:31 | S/ 3.35 | Bal: -0.0597
28/01 00:45:37 | S/ 3.35 | Bal: -0.0597
